chrom	start	end	celltype	blockchr	blockstart	blockend
chr5	133468857	133468859	['CD14']	chr5	133468708	133469008
chr3	12354870	12354872	['CD14']	chr3	12354721	12355021
chr18	58730615	58730617	['CD14']	chr18	58730466	58730766
chr10	26491829	26491831	['CD14']	chr10	26491680	26491980
chr5	14343158	14343160	['CD14']	chr5	14343009	14343309
chr14	89457960	89457962	['CD14']	chr14	89457811	89458111
chr16	84983947	84983949	['CD14']	chr16	84983798	84984098
chr6	11463008	11463010	['CD14']	chr6	11462859	11463159
chr9	124970843	124970845	['CD14']	chr9	124970694	124970994
chr12	4031981	4031983	['CD14']	chr12	4031832	4032132
chr1	154433658	154433660	['CD14']	chr1	154433509	154433809
chr5	76859653	76859655	['CD14']	chr5	76859504	76859804
chr13	41585239	41585241	['CD14']	chr13	41585090	41585390
chr16	57090594	57090596	['CD14']	chr16	57090445	57090745
chr8	42957889	42957891	['CD14']	chr8	42957740	42958040
chr17	1095099	1095101	['CD14']	chr17	1094950	1095250
chr2	73033077	73033079	['CD14']	chr2	73032928	73033228
chr3	12268245	12268247	['CD14']	chr3	12268096	12268396
chr3	101934837	101934839	['CD14']	chr3	101934688	101934988
chr4	127988811	127988813	['CD14']	chr4	127988662	127988962
chr6	127346545	127346547	['CD14']	chr6	127346396	127346696
chr1	159431113	159431115	['CD14']	chr1	159430964	159431264
chr16	84071358	84071360	['CD14']	chr16	84071209	84071509
chr11	128159069	128159071	['CD14']	chr11	128158920	128159220
chr12	104824016	104824018	['CD14']	chr12	104823867	104824167
chr11	86077987	86077989	['CD14']	chr11	86077838	86078138
chr3	120203512	120203514	['CD14']	chr3	120203363	120203663
chr4	143670597	143670599	['CD14']	chr4	143670448	143670748
chr2	42649008	42649010	['CD14']	chr2	42648859	42649159
chr2	26269104	26269106	['CD14']	chr2	26268955	26269255
chrX	9316232	9316234	['CD14']	chrX	9316083	9316383
chr6	106123057	106123059	['CD14']	chr6	106122908	106123208
chr16	66481261	66481263	['CD14']	chr16	66481112	66481412
chr19	48966707	48966709	['CD14']	chr19	48966558	48966858
chr3	154178382	154178384	['CD14']	chr3	154178233	154178533
chr7	37245670	37245672	['CD14']	chr7	37245521	37245821
chr6	157442415	157442417	['CD14']	chr6	157442266	157442566
chr3	46964426	46964428	['CD14']	chr3	46964277	46964577
chr2	24482491	24482493	['CD14']	chr2	24482342	24482642
chr9	19163068	19163070	['CD14']	chr9	19162919	19163219
chr18	79642923	79642925	['CD14']	chr18	79642774	79643074
chr6	40504479	40504481	['CD14']	chr6	40504330	40504630
chr2	26269024	26269026	['CD14']	chr2	26268955	26269255
chr11	68928063	68928065	['CD14']	chr11	68927914	68928214
chr11	128159049	128159051	['CD14']	chr11	128158920	128159220
chr8	29583899	29583901	['CD14']	chr8	29583750	29584050
chr1	235920018	235920020	['CD14']	chr1	235919758	235920058
chr8	42957897	42957899	['CD14']	chr8	42957740	42958040
chr9	19163159	19163161	['CD14']	chr9	19162919	19163219
chr17	64008171	64008173	['CD14']	chr17	64008022	64008322
chr11	86078004	86078006	['CD14']	chr11	86077838	86078138
chr2	218322708	218322710	['CD14']	chr2	218322559	218322859
