chrom	start	end	NK-Naive CD4 T	NK-B_cell	NK-Naive CD8 T	NK-Mono	Minimum delta	Maximum delta	Average delta	(Minimum delta+Average delta)/2
chr1	936082	936084	0.7130000000000001	0.37133333333333335	0.466	0.3243333333333334	0.3243333333333334	0.7130000000000001	0.4686666666666667	0.3965000000000001
chr1	928247	928249	0.445	0.363	0.3670000000000001	0.5	0.363	0.5	0.41875	0.390875
chr1	940039	940041	0.4485	0.3696666666666666	0.3033333333333333	0.21433333333333326	0.21433333333333326	0.4485	0.3339583333333333	0.2741458333333333
chr1	923025	923027	0.3223333333333333	0.3639999999999999	0.3276666666666666	0.2236666666666665	0.2236666666666665	0.3639999999999999	0.30941666666666656	0.26654166666666657
chr1	935577	935579	0.4060000000000002	0.2186666666666668	0.3030000000000001	0.325	0.2186666666666668	0.4060000000000002	0.3131666666666668	0.2659166666666668
chr1	924594	924596	0.33299999999999996	0.21733333333333327	0.24850000000000005	0.4185	0.21733333333333327	0.4185	0.3043333333333333	0.26083333333333325
chr1	930255	930257	0.33333333333333337	0.2273333333333334	0.277	0.33333333333333337	0.2273333333333334	0.33333333333333337	0.2927500000000001	0.2600416666666667
chr1	940035	940037	0.35899999999999993	0.16299999999999998	0.4566666666666666	0.26533333333333337	0.16299999999999998	0.4566666666666666	0.311	0.237
chr1	925596	925598	0.20766666666666667	0.292	0.19433333333333333	0.381	0.19433333333333333	0.381	0.26875	0.23154166666666665
chr1	929755	929757	0.27866666666666673	0.20666666666666667	0.2513333333333334	0.27866666666666673	0.20666666666666667	0.27866666666666673	0.25383333333333336	0.23025
chr1	932873	932875	0.20866666666666667	0.2743333333333333	0.19033333333333347	0.3410000000000001	0.19033333333333347	0.3410000000000001	0.2535833333333334	0.22195833333333342
chr1	925584	925586	0.26333333333333336	0.19000000000000009	0.32066666666666666	0.236	0.19000000000000009	0.32066666666666666	0.2525	0.22125000000000006
chr1	941729	941731	0.26666666666666666	0.26566666666666666	0.1696666666666667	0.30800000000000005	0.1696666666666667	0.30800000000000005	0.2525	0.21108333333333335
chr1	936736	936738	0.19333333333333336	0.19333333333333336	0.2766666666666667	0.21	0.19333333333333336	0.2766666666666667	0.21833333333333332	0.20583333333333334
chr1	923177	923179	0.3336666666666668	0.2453333333333334	0.18600000000000005	0.17533333333333326	0.17533333333333326	0.3336666666666668	0.23508333333333334	0.2052083333333333
chr1	935847	935849	0.24266666666666664	0.2796666666666667	0.26766666666666666	0.15066666666666667	0.15066666666666667	0.2796666666666667	0.2351666666666667	0.19291666666666668
chr1	924726	924728	0.08333333333333333	0.3453333333333333	0.458	0.3215	0.08333333333333333	0.458	0.30204166666666665	0.19268749999999998
chr1	941653	941655	0.411	0.2816666666666667	0.16966666666666666	0.13266666666666668	0.13266666666666668	0.411	0.24875000000000005	0.19070833333333337
chr1	926209	926211	0.16666666666666666	0.168	0.2286666666666667	0.2763333333333333	0.16666666666666666	0.2763333333333333	0.20991666666666667	0.18829166666666666
chr1	940881	940883	0.16166666666666665	0.34	0.1703333333333333	0.1806666666666666	0.16166666666666665	0.34	0.21316666666666667	0.18741666666666668
